Time,STFT,LTFT,Pressure
55272.970103,-9.375,0.0,34.0
55273.670103,-10.15625,0.0,33.0
55274.338103,-7.8125,0.0,32.0
55275.037103,-11.71875,0.0,33.0
55275.759103,-7.8125,0.78125,29.0
55276.441103,-14.84375,0.0,30.0
55277.110103,-18.75,0.0,30.0
55277.800103,-14.0625,0.0,31.0
55278.475103,-9.375,0.0,37.0
55279.149103,-6.25,-2.34375,37.0
55279.853103,-7.03125,-2.34375,38.0
55280.551103,-6.25,-3.125,40.0
55281.250103,-3.90625,-3.90625,54.0
55281.961103,2.34375,-3.90625,54.0
55282.637103,-7.03125,-3.90625,53.0
55283.382103,-6.25,-3.125,52.0
55284.091103,-7.03125,-3.125,50.0
55284.753103,-9.375,-2.34375,46.0
55285.461103,-9.375,-2.34375,42.0
55286.139103,-10.9375,-2.34375,42.0
55286.834103,-7.03125,-2.34375,42.0
55287.532103,-10.9375,-2.34375,42.0
55288.253103,-7.8125,-2.34375,39.0
55288.917103,-9.375,-2.34375,41.0
55289.614103,-10.15625,-2.34375,40.0
55290.325103,-7.8125,-2.34375,41.0
55291.025103,-7.8125,-2.34375,40.0
55291.691103,-9.375,-2.34375,40.0
55292.390103,-6.25,2.34375,40.0
55293.118103,-3.90625,99.21875,23.0
55293.807103,0.0,99.21875,23.0
55294.497103,0.0,99.21875,23.0
55295.200103,0.0,99.21875,23.0
55295.876103,0.0,99.21875,22.0
55296.565103,0.0,99.21875,22.0
55297.239103,0.0,99.21875,22.0
55297.923103,0.0,99.21875,23.0
55298.643103,0.0,99.21875,25.0
55299.322103,0.0,99.21875,26.0
55300.027103,0.0,99.21875,27.0
55300.695103,0.0,99.21875,27.0
55301.405103,0.0,99.21875,26.0
55302.076103,0.0,0.0,27.0
55302.799103,0.0,0.0,27.0
55303.478103,0.0,2.34375,27.0
55304.169103,0.0,1.5625,35.0
55304.861103,0.0,0.78125,38.0
55305.572103,-3.90625,0.0,40.0
55306.274103,-6.25,0.78125,40.0
55306.958103,-7.8125,0.78125,40.0
55307.673103,-7.8125,0.78125,40.0
55308.333103,-7.03125,0.78125,40.0
55309.032103,-6.25,0.78125,41.0
55309.708103,-7.03125,0.0,41.0
55310.377103,-7.8125,0.0,45.0
55311.062103,-9.375,0.0,46.0
55311.731103,-9.375,0.0,46.0
55312.402103,-10.15625,0.0,47.0
55313.082103,-10.9375,0.0,47.0
55313.786103,-9.375,0.0,46.0
55314.467103,-7.8125,0.0,47.0
55315.160103,-10.15625,0.0,46.0
55315.879103,-6.25,-2.34375,62.0
55316.587103,-11.71875,-2.34375,69.0
55317.291103,-5.46875,-2.34375,75.0
55317.985103,0.0,-2.34375,77.0
55318.689103,3.90625,-3.90625,63.0
55319.396103,-3.90625,0.0,47.0
55320.105103,0.0,-3.90625,46.0
55320.809103,8.59375,-3.90625,59.0
55321.509103,0.0,0.78125,55.0
55322.185103,2.34375,-6.25,43.0
55322.884103,0.0,-5.46875,74.0
55323.618103,0.0,-3.125,59.0
55324.297103,0.0,-2.34375,39.0
55324.950103,3.90625,-3.90625,53.0
55325.639103,2.34375,-3.90625,57.0
55326.312103,3.90625,99.21875,54.0
55327.045103,0.78125,-2.34375,26.0
55327.747103,0.0,-2.34375,42.0
55328.489103,0.0,-3.125,40.0
55329.186103,0.0,-3.125,46.0
55329.893103,-7.8125,-2.34375,45.0
55330.588103,0.0,-2.34375,43.0
55331.261103,-2.34375,-2.34375,43.0
55331.940103,-5.46875,-2.34375,42.0
55332.658103,3.90625,-2.34375,40.0
55333.373103,0.78125,-2.34375,40.0
55334.077103,0.0,-2.34375,39.0
55334.786103,-3.90625,0.0,37.0
55335.492103,0.0,0.0,37.0
55336.189103,1.5625,0.78125,36.0
55336.863103,0.0,4.6875,22.0
55337.549103,0.0,99.21875,21.0
55338.234103,0.0,99.21875,21.0
55338.920103,0.0,99.21875,21.0
55339.631103,0.0,99.21875,23.0
55340.325103,0.0,99.21875,23.0
55341.000103,0.0,99.21875,23.0
55341.714103,0.0,99.21875,23.0
55342.397103,0.0,99.21875,23.0
55343.111103,0.0,99.21875,23.0
55343.799103,0.0,99.21875,22.0
55344.508103,0.78125,-3.125,22.0
55345.225103,0.0,-3.125,81.0
55345.933103,0.0,-3.125,65.0
55346.609103,0.0,-3.125,47.0
55347.338103,-5.46875,0.78125,38.0
55348.035103,-10.15625,0.78125,30.0
55348.745103,-14.84375,0.78125,29.0
55349.466103,-16.40625,-3.125,33.0
55350.150103,-10.9375,-3.90625,50.0
55350.917103,-3.125,-3.90625,59.0
55351.605103,4.6875,-3.125,55.0
55352.283103,0.78125,-3.125,51.0
55352.948103,-2.34375,-3.125,50.0
55353.639103,0.0,-3.125,48.0
55354.331103,0.0,-3.125,46.0
55355.021103,-6.25,-3.125,45.0
55355.760103,-2.34375,-3.125,43.0
55356.436103,3.90625,-3.125,45.0
55357.141103,2.34375,-3.125,43.0
55357.834103,2.34375,-2.34375,43.0
55358.571103,0.0,0.0,40.0
55359.271103,0.0,0.0,34.0
55359.926103,5.46875,0.0,33.0
55360.601103,1.5625,0.0,33.0
55361.323103,0.0,0.0,34.0
55362.028103,1.5625,0.0,34.0
55362.736103,5.46875,0.0,35.0
55363.400103,0.0,3.90625,35.0
55364.071103,0.0,99.21875,21.0
55364.763103,0.0,99.21875,22.0
55365.490103,0.0,99.21875,23.0
55366.193103,0.0,0.0,23.0
55366.892103,0.0,1.5625,28.0
55367.597103,1.5625,0.78125,36.0
55368.289103,0.0,0.78125,39.0
55368.986103,-3.125,-3.125,40.0
55369.678103,-3.90625,-5.46875,90.0
55370.378103,1.5625,-3.125,96.0
55371.055103,2.34375,-3.90625,95.0
55371.749103,11.71875,-5.46875,91.0
55372.447103,4.6875,-5.46875,76.0
55373.178103,2.34375,-3.90625,64.0
55373.859103,0.0,-3.90625,59.0
55374.595103,0.0,-3.90625,59.0
55375.297103,-10.15625,0.78125,31.0
55375.964103,-10.9375,-3.125,35.0
55376.696103,-2.34375,-3.90625,48.0
55377.368103,0.0,-5.46875,61.0
55378.061103,1.5625,-6.25,74.0
55378.729103,0.0,99.21875,56.0
55379.422103,1.5625,-6.25,39.0
55380.097103,0.0,-5.46875,76.0
55380.747103,0.0,-5.46875,73.0
55381.415103,1.5625,-5.46875,72.0
55382.134103,3.90625,-5.46875,72.0
55382.798103,-3.125,-5.46875,67.0
55383.480103,-6.25,0.0,54.0
55384.195103,-3.90625,0.0,33.0
55384.857103,-5.46875,-3.90625,33.0
55385.536103,0.0,-3.90625,57.0
55386.225103,-2.34375,-3.90625,57.0
55386.912103,0.78125,-6.25,72.0
55387.626103,3.90625,-5.46875,93.0
